KPI,Site_ID,Sector_ID,Date,RSRP,DL_Throughput,Call_Drop_Rate,RTT,CPU_Utilization,Active_Users,SINR,UL_Throughput,Handover_Success_Rate,Packet_Loss
RSRP,SITE_001,SITE_001_SECTOR_B,2024-02-11,-111.52832092294196,,,,,,,,,
RSRP,SITE_001,SITE_001_SECTOR_C,2024-01-09,-108.0591555545522,,,,,,,,,
RSRP,SITE_001,SITE_001_SECTOR_D,2024-02-06,-104.43843161041087,,,,,,,,,
RSRP,SITE_002,SITE_002_SECTOR_A,2024-01-23,-96.73664726264518,,,,,,,,,
RSRP,SITE_002,SITE_002_SECTOR_A,2024-01-24,-95.9193194511892,,,,,,,,,
RSRP,SITE_002,SITE_002_SECTOR_A,2024-01-25,-95.0453577663896,,,,,,,,,
RSRP,SITE_003,SITE_003_SECTOR_B,2024-01-12,-73.25858301375371,,,,,,,,,
RSRP,SITE_004,SITE_004_SECTOR_A,2024-01-09,-105.06226377311285,,,,,,,,,
RSRP,SITE_004,SITE_004_SECTOR_B,2024-01-28,-81.78055263506161,,,,,,,,,
RSRP,SITE_005,SITE_005_SECTOR_A,2024-02-12,-75.98525459168924,,,,,,,,,
RSRP,SITE_005,SITE_005_SECTOR_B,2024-02-21,-89.67711190825811,,,,,,,,,
RSRP,SITE_005,SITE_005_SECTOR_C,2024-01-20,-86.3290791590544,,,,,,,,,
RSRP,SITE_006,SITE_006_SECTOR_E,2024-01-10,-70.0,,,,,,,,,
RSRP,SITE_007,SITE_007_SECTOR_A,2024-02-07,-107.85287459781124,,,,,,,,,
RSRP,SITE_007,SITE_007_SECTOR_A,2024-01-10,-106.81393156298212,,,,,,,,,
RSRP,SITE_007,SITE_007_SECTOR_C,2024-01-20,-107.36851783960516,,,,,,,,,
RSRP,SITE_009,SITE_009_SECTOR_A,2024-02-17,-100.9249349017528,,,,,,,,,
RSRP,SITE_009,SITE_009_SECTOR_A,2024-02-18,-99.0843738056432,,,,,,,,,
RSRP,SITE_009,SITE_009_SECTOR_B,2024-02-24,-79.40742214821294,,,,,,,,,
RSRP,SITE_009,SITE_009_SECTOR_C,2024-01-13,-105.2618421068922,,,,,,,,,
RSRP,SITE_009,SITE_009_SECTOR_C,2024-01-24,-105.5612162052574,,,,,,,,,
RSRP,SITE_010,SITE_010_SECTOR_A,2024-02-03,-112.25517932943526,,,,,,,,,
RSRP,SITE_010,SITE_010_SECTOR_B,2024-01-23,-75.51229607705078,,,,,,,,,
RSRP,SITE_010,SITE_010_SECTOR_C,2024-02-24,-118.90927573343654,,,,,,,,,
RSRP,SITE_011,SITE_011_SECTOR_A,2024-01-20,-85.78211784411232,,,,,,,,,
RSRP,SITE_011,SITE_011_SECTOR_D,2024-01-27,-108.94999884466394,,,,,,,,,
RSRP,SITE_012,SITE_012_SECTOR_A,2024-01-20,-75.25393802983918,,,,,,,,,
RSRP,SITE_012,SITE_012_SECTOR_C,2024-02-25,-115.99463653792718,,,,,,,,,
RSRP,SITE_013,SITE_013_SECTOR_A,2024-01-31,-102.08753321770062,,,,,,,,,
RSRP,SITE_013,SITE_013_SECTOR_B,2024-01-26,-99.90790544699092,,,,,,,,,
RSRP,SITE_013,SITE_013_SECTOR_C,2024-02-07,-87.55598716888993,,,,,,,,,
RSRP,SITE_014,SITE_014_SECTOR_B,2024-02-07,-106.50868328833452,,,,,,,,,
RSRP,SITE_014,SITE_014_SECTOR_C,2024-01-27,-81.72987344037278,,,,,,,,,
RSRP,SITE_014,SITE_014_SECTOR_C,2024-01-21,-78.3583782809338,,,,,,,,,
RSRP,SITE_015,SITE_015_SECTOR_D,2024-01-27,-95.43600678168544,,,,,,,,,
RSRP,SITE_016,SITE_016_SECTOR_B,2024-01-24,-84.24671711224084,,,,,,,,,
RSRP,SITE_017,SITE_017_SECTOR_A,2024-02-06,-72.47428070723011,,,,,,,,,
RSRP,SITE_021,SITE_021_SECTOR_A,2024-01-10,-70.24790577438081,,,,,,,,,
RSRP,SITE_021,SITE_021_SECTOR_C,2024-01-15,-85.13529777477576,,,,,,,,,
RSRP,SITE_022,SITE_022_SECTOR_A,2024-02-08,-87.02173462847142,,,,,,,,,
RSRP,SITE_023,SITE_023_SECTOR_B,2024-02-24,-81.92753057711104,,,,,,,,,
RSRP,SITE_023,SITE_023_SECTOR_B,2024-01-27,-82.46621859001868,,,,,,,,,
RSRP,SITE_024,SITE_024_SECTOR_D,2024-01-20,-108.52935065995032,,,,,,,,,
RSRP,SITE_024,SITE_024_SECTOR_E,2024-02-24,-110.33163767194614,,,,,,,,,
RSRP,SITE_025,SITE_025_SECTOR_B,2024-01-25,-98.64078767206588,,,,,,,,,
RSRP,SITE_026,SITE_026_SECTOR_C,2024-02-24,-83.90355701535998,,,,,,,,,
RSRP,SITE_027,SITE_027_SECTOR_A,2024-02-10,-106.64516506038004,,,,,,,,,
RSRP,SITE_027,SITE_027_SECTOR_C,2024-02-24,-99.46872158358995,,,,,,,,,
RSRP,SITE_027,SITE_027_SECTOR_E,2024-01-10,-73.66551733857261,,,,,,,,,
RSRP,SITE_027,SITE_027_SECTOR_E,2024-02-07,-73.75682473305352,,,,,,,,,
RSRP,SITE_029,SITE_029_SECTOR_B,2024-01-06,-76.96030307116443,,,,,,,,,
RSRP,SITE_030,SITE_030_SECTOR_D,2024-01-18,-118.87852969570278,,,,,,,,,
RSRP,SITE_031,SITE_031_SECTOR_A,2024-02-10,-83.51624874021374,,,,,,,,,
RSRP,SITE_031,SITE_031_SECTOR_A,2024-02-13,-118.82651599250268,,,,,,,,,
RSRP,SITE_031,SITE_031_SECTOR_B,2024-02-07,-88.80209829981249,,,,,,,,,
RSRP,SITE_032,SITE_032_SECTOR_D,2024-01-16,-91.15829239751191,,,,,,,,,
RSRP,SITE_033,SITE_033_SECTOR_B,2024-01-21,-78.59821327225465,,,,,,,,,
RSRP,SITE_033,SITE_033_SECTOR_D,2024-01-20,-83.60921309690852,,,,,,,,,
RSRP,SITE_034,SITE_034_SECTOR_A,2024-01-28,-119.99636791810734,,,,,,,,,
RSRP,SITE_035,SITE_035_SECTOR_B,2024-01-10,-103.08107973315256,,,,,,,,,
RSRP,SITE_036,SITE_036_SECTOR_A,2024-02-17,-87.22372998260352,,,,,,,,,
RSRP,SITE_036,SITE_036_SECTOR_E,2024-02-03,-96.46368616928164,,,,,,,,,
RSRP,SITE_037,SITE_037_SECTOR_D,2024-01-25,-79.68264962375133,,,,,,,,,
RSRP,SITE_038,SITE_038_SECTOR_C,2024-01-27,-118.49397977534174,,,,,,,,,
RSRP,SITE_038,SITE_038_SECTOR_D,2024-01-20,-119.03410475067436,,,,,,,,,
RSRP,SITE_038,SITE_038_SECTOR_E,2024-01-10,-98.37162417939876,,,,,,,,,
RSRP,SITE_039,SITE_039_SECTOR_A,2024-01-23,-106.87057146346407,,,,,,,,,
RSRP,SITE_039,SITE_039_SECTOR_A,2024-02-08,-70.49952157672212,,,,,,,,,
RSRP,SITE_039,SITE_039_SECTOR_C,2024-02-24,-102.63489034203762,,,,,,,,,
RSRP,SITE_039,SITE_039_SECTOR_D,2024-02-07,-71.64414010474567,,,,,,,,,
RSRP,SITE_041,SITE_041_SECTOR_A,2024-02-07,-109.32247978441028,,,,,,,,,
RSRP,SITE_041,SITE_041_SECTOR_C,2024-01-11,-109.37920397885732,,,,,,,,,
RSRP,SITE_041,SITE_041_SECTOR_D,2024-02-07,-95.43432632846482,,,,,,,,,
RSRP,SITE_042,SITE_042_SECTOR_A,2024-01-31,-109.36209442466766,,,,,,,,,
RSRP,SITE_042,SITE_042_SECTOR_B,2024-02-24,-82.30255799834718,,,,,,,,,
RSRP,SITE_043,SITE_043_SECTOR_A,2024-02-07,-107.04559714032546,,,,,,,,,
RSRP,SITE_043,SITE_043_SECTOR_B,2024-01-29,-78.46781466244902,,,,,,,,,
RSRP,SITE_043,SITE_043_SECTOR_C,2024-01-10,-71.05289888985307,,,,,,,,,
RSRP,SITE_044,SITE_044_SECTOR_B,2024-01-26,-111.36166342328823,,,,,,,,,
RSRP,SITE_044,SITE_044_SECTOR_B,2024-01-24,-70.20974194677837,,,,,,,,,
RSRP,SITE_045,SITE_045_SECTOR_A,2024-02-14,-112.62108742811978,,,,,,,,,
RSRP,SITE_045,SITE_045_SECTOR_A,2024-01-09,-117.74576780543468,,,,,,,,,
RSRP,SITE_047,SITE_047_SECTOR_A,2024-02-24,-80.59400647587013,,,,,,,,,
RSRP,SITE_047,SITE_047_SECTOR_C,2024-02-25,-82.2112732085531,,,,,,,,,
RSRP,SITE_050,SITE_050_SECTOR_A,2024-02-24,-110.66565256726749,,,,,,,,,
RSRP,SITE_050,SITE_050_SECTOR_C,2024-01-27,-82.52418517060705,,,,,,,,,
RSRP,SITE_050,SITE_050_SECTOR_D,2024-02-14,-117.77597610651132,,,,,,,,,
RSRP,SITE_050,SITE_050_SECTOR_E,2024-01-20,-106.16416099037728,,,,,,,,,
RSRP,SITE_052,SITE_052_SECTOR_B,2024-01-15,-80.58227169595591,,,,,,,,,
RSRP,SITE_053,SITE_053_SECTOR_B,2024-01-09,-105.67702658891456,,,,,,,,,
